Season,Game Type,Week,Date,Team,Site,Opponent,Result,Team Pts,Opp Pts,OT
2023,Regular Season,16,12/25/23,Ravens,Away,49ers,W,33,19,0
2023,Regular Season,16,12/25/23,49ers,Home,Ravens,L,19,33,0
2023,Regular Season,16,12/25/23,Eagles,Home,Giants,W,33,25,0
2023,Regular Season,16,12/25/23,Giants,Away,Eagles,L,25,33,0
2023,Regular Season,16,12/25/23,Raiders,Away,Chiefs,W,20,14,0
2023,Regular Season,16,12/25/23,Chiefs,Home,Raiders,L,14,20,0
2023,Regular Season,16,12/24/23,Patriots,Away,Broncos,W,26,23,0
2023,Regular Season,16,12/24/23,Broncos,Home,Patriots,L,23,26,0
2023,Regular Season,16,12/24/23,Dolphins,Home,Cowboys,W,22,20,0
2023,Regular Season,16,12/24/23,Cowboys,Away,Dolphins,L,20,22,0
2023,Regular Season,16,12/24/23,Bears,Home,Cardinals,W,27,16,0
2023,Regular Season,16,12/24/23,Cardinals,Away,Bears,L,16,27,0
2023,Regular Season,16,12/24/23,Buccaneers,Home,Jaguars,W,30,12,0
2023,Regular Season,16,12/24/23,Jaguars,Away,Buccaneers,L,12,30,0
2023,Regular Season,16,12/24/23,Browns,Away,Texans,W,36,22,0
2023,Regular Season,16,12/24/23,Texans,Home,Browns,L,22,36,0
2023,Regular Season,16,12/24/23,Packers,Away,Panthers,W,33,30,0
2023,Regular Season,16,12/24/23,Panthers,Home,Packers,L,30,33,0
2023,Regular Season,16,12/24/23,Jets,Home,Washington,W,30,28,0
2023,Regular Season,16,12/24/23,Washington,Away,Jets,L,28,30,0
2023,Regular Season,16,12/24/23,Lions,Away,Vikings,W,30,24,0
2023,Regular Season,16,12/24/23,Vikings,Home,Lions,L,24,30,0
2023,Regular Season,16,12/24/23,Seahawks,Away,Titans,W,20,17,0
2023,Regular Season,16,12/24/23,Titans,Home,Seahawks,L,17,20,0
2023,Regular Season,16,12/24/23,Falcons,Home,Colts,W,29,10,0
2023,Regular Season,16,12/24/23,Colts,Away,Falcons,L,10,29,0
2023,Regular Season,16,12/23/23,Bills,Away,Chargers,W,24,22,0
2023,Regular Season,16,12/23/23,Chargers,Home,Bills,L,22,24,0
2023,Regular Season,16,12/23/23,Steelers,Home,Bengals,W,34,11,0
2023,Regular Season,16,12/23/23,Bengals,Away,Steelers,L,11,34,0
2023,Regular Season,16,12/21/23,Rams,Home,Saints,W,30,22,0
2023,Regular Season,16,12/21/23,Saints,Away,Rams,L,22,30,0
2023,Regular Season,15,12/18/23,Seahawks,Home,Eagles,W,20,17,0
2023,Regular Season,15,12/18/23,Eagles,Away,Seahawks,L,17,20,0
2023,Regular Season,15,12/17/23,Ravens,Away,Jaguars,W,23,7,0
2023,Regular Season,15,12/17/23,Jaguars,Home,Ravens,L,7,23,0
2023,Regular Season,15,12/17/23,Bills,Home,Cowboys,W,31,10,0
2023,Regular Season,15,12/17/23,Cowboys,Away,Bills,L,10,31,0
2023,Regular Season,15,12/17/23,49ers,Away,Cardinals,W,45,29,0
2023,Regular Season,15,12/17/23,Cardinals,Home,49ers,L,29,45,0
2023,Regular Season,15,12/17/23,Rams,Home,Washington,W,28,20,0
2023,Regular Season,15,12/17/23,Washington,Away,Rams,L,20,28,0
2023,Regular Season,15,12/17/23,Panthers,Home,Falcons,W,9,7,0
2023,Regular Season,15,12/17/23,Falcons,Away,Panthers,L,7,9,0
2023,Regular Season,15,12/17/23,Saints,Home,Giants,W,24,6,0
2023,Regular Season,15,12/17/23,Giants,Away,Saints,L,6,24,0
2023,Regular Season,15,12/17/23,Chiefs,Away,Patriots,W,27,17,0
2023,Regular Season,15,12/17/23,Patriots,Home,Chiefs,L,17,27,0
2023,Regular Season,15,12/17/23,Dolphins,Home,Jets,W,30,0,0
2023,Regular Season,15,12/17/23,Jets,Away,Dolphins,L,0,30,0
2023,Regular Season,15,12/17/23,Texans,Away,Titans,W,19,16,1
2023,Regular Season,15,12/17/23,Titans,Home,Texans,L,16,19,1
2023,Regular Season,15,12/17/23,Buccaneers,Away,Packers,W,34,20,0
2023,Regular Season,15,12/17/23,Packers,Home,Buccaneers,L,20,34,0
2023,Regular Season,15,12/17/23,Browns,Home,Bears,W,20,17,0
2023,Regular Season,15,12/17/23,Bears,Away,Browns,L,17,20,0
2023,Regular Season,15,12/16/23,Lions,Home,Broncos,W,42,17,0
2023,Regular Season,15,12/16/23,Broncos,Away,Lions,L,17,42,0
2023,Regular Season,15,12/16/23,Colts,Home,Steelers,W,30,13,0
2023,Regular Season,15,12/16/23,Steelers,Away,Colts,L,13,30,0
2023,Regular Season,15,12/16/23,Bengals,Home,Vikings,W,27,24,1
2023,Regular Season,15,12/16/23,Vikings,Away,Bengals,L,24,27,1
2023,Regular Season,15,12/14/23,Raiders,Home,Chargers,W,63,21,0
2023,Regular Season,15,12/14/23,Chargers,Away,Raiders,L,21,63,0
2023,Regular Season,14,12/11/23,Giants,Home,Packers,W,24,22,0
2023,Regular Season,14,12/11/23,Packers,Away,Giants,L,22,24,0
2023,Regular Season,14,12/11/23,Titans,Away,Dolphins,W,28,27,0
2023,Regular Season,14,12/11/23,Dolphins,Home,Titans,L,27,28,0
2023,Regular Season,14,12/10/23,Cowboys,Home,Eagles,W,33,13,0
2023,Regular Season,14,12/10/23,Eagles,Away,Cowboys,L,13,33,0
2023,Regular Season,14,12/10/23,Broncos,Away,Chargers,W,24,7,0
2023,Regular Season,14,12/10/23,Chargers,Home,Broncos,L,7,24,0
2023,Regular Season,14,12/10/23,Bills,Away,Chiefs,W,20,17,0
2023,Regular Season,14,12/10/23,Chiefs,Home,Bills,L,17,20,0
2023,Regular Season,14,12/10/23,49ers,Home,Seahawks,W,28,16,0
2023,Regular Season,14,12/10/23,Seahawks,Away,49ers,L,16,28,0
2023,Regular Season,14,12/10/23,Vikings,Away,Raiders,W,3,0,0
2023,Regular Season,14,12/10/23,Raiders,Home,Vikings,L,0,3,0
2023,Regular Season,14,12/10/23,Ravens,Home,Rams,W,37,31,1
2023,Regular Season,14,12/10/23,Rams,Away,Ravens,L,31,37,1
2023,Regular Season,14,12/10/23,Jets,Home,Texans,W,30,6,0
2023,Regular Season,14,12/10/23,Texans,Away,Jets,L,6,30,0
2023,Regular Season,14,12/10/23,Saints,Home,Panthers,W,28,6,0
2023,Regular Season,14,12/10/23,Panthers,Away,Saints,L,6,28,0
2023,Regular Season,14,12/10/23,Browns,Home,Jaguars,W,31,27,0
2023,Regular Season,14,12/10/23,Jaguars,Away,Browns,L,27,31,0
2023,Regular Season,14,12/10/23,Bengals,Home,Colts,W,34,14,0
2023,Regular Season,14,12/10/23,Colts,Away,Bengals,L,14,34,0
2023,Regular Season,14,12/10/23,Bears,Home,Lions,W,28,13,0
2023,Regular Season,14,12/10/23,Lions,Away,Bears,L,13,28,0
2023,Regular Season,14,12/10/23,Buccaneers,Away,Falcons,W,29,25,0
2023,Regular Season,14,12/10/23,Falcons,Home,Buccaneers,L,25,29,0
2023,Regular Season,14,12/7/23,Patriots,Away,Steelers,W,21,18,0
2023,Regular Season,14,12/7/23,Steelers,Home,Patriots,L,18,21,0
2023,Regular Season,13,12/4/23,Bengals,Away,Jaguars,W,34,31,1
2023,Regular Season,13,12/4/23,Jaguars,Home,Bengals,L,31,34,1
2023,Regular Season,13,12/3/23,Packers,Home,Chiefs,W,27,19,0
2023,Regular Season,13,12/3/23,Chiefs,Away,Packers,L,19,27,0
2023,Regular Season,13,12/3/23,49ers,Away,Eagles,W,42,19,0
2023,Regular Season,13,12/3/23,Eagles,Home,49ers,L,19,42,0
2023,Regular Season,13,12/3/23,Rams,Home,Browns,W,36,19,0
2023,Regular Season,13,12/3/23,Browns,Away,Rams,L,19,36,0
2023,Regular Season,13,12/3/23,Buccaneers,Home,Panthers,W,21,18,0
2023,Regular Season,13,12/3/23,Panthers,Away,Buccaneers,L,18,21,0
2023,Regular Season,13,12/3/23,Dolphins,Away,Washington,W,45,15,0
2023,Regular Season,13,12/3/23,Washington,Home,Dolphins,L,15,45,0
2023,Regular Season,13,12/3/23,Texans,Home,Broncos,W,22,17,0
2023,Regular Season,13,12/3/23,Broncos,Away,Texans,L,17,22,0
2023,Regular Season,13,12/3/23,Cardinals,Away,Steelers,W,24,10,0
2023,Regular Season,13,12/3/23,Steelers,Home,Cardinals,L,10,24,0
2023,Regular Season,13,12/3/23,Falcons,Away,Jets,W,13,8,0
2023,Regular Season,13,12/3/23,Jets,Home,Falcons,L,8,13,0
2023,Regular Season,13,12/3/23,Lions,Away,Saints,W,33,28,0
2023,Regular Season,13,12/3/23,Saints,Home,Lions,L,28,33,0
2023,Regular Season,13,12/3/23,Chargers,Away,Patriots,W,6,0,0
2023,Regular Season,13,12/3/23,Patriots,Home,Chargers,L,0,6,0
2023,Regular Season,13,12/3/23,Colts,Away,Titans,W,31,28,1
2023,Regular Season,13,12/3/23,Titans,Home,Colts,L,28,31,1
2023,Regular Season,13,11/30/23,Cowboys,Home,Seahawks,W,41,35,0
2023,Regular Season,13,11/30/23,Seahawks,Away,Cowboys,L,35,41,0
2023,Regular Season,12,11/27/23,Bears,Away,Vikings,W,12,10,0
2023,Regular Season,12,11/27/23,Vikings,Home,Bears,L,10,12,0
2023,Regular Season,12,11/26/23,Ravens,Away,Chargers,W,20,10,0
2023,Regular Season,12,11/26/23,Chargers,Home,Ravens,L,10,20,0
2023,Regular Season,12,11/26/23,Eagles,Home,Bills,W,37,34,1
2023,Regular Season,12,11/26/23,Bills,Away,Eagles,L,34,37,1
2023,Regular Season,12,11/26/23,Chiefs,Away,Raiders,W,31,17,0
2023,Regular Season,12,11/26/23,Raiders,Home,Chiefs,L,17,31,0
2023,Regular Season,12,11/26/23,Rams,Away,Cardinals,W,37,14,0
2023,Regular Season,12,11/26/23,Cardinals,Home,Rams,L,14,37,0
2023,Regular Season,12,11/26/23,Broncos,Home,Browns,W,29,12,0
2023,Regular Season,12,11/26/23,Browns,Away,Broncos,L,12,29,0
2023,Regular Season,12,11/26/23,Jaguars,Away,Texans,W,24,21,0
2023,Regular Season,12,11/26/23,Texans,Home,Jaguars,L,21,24,0
2023,Regular Season,12,11/26/23,Giants,Home,Patriots,W,10,7,0
2023,Regular Season,12,11/26/23,Patriots,Away,Giants,L,7,10,0
2023,Regular Season,12,11/26/23,Colts,Home,Buccaneers,W,27,20,0
2023,Regular Season,12,11/26/23,Buccaneers,Away,Colts,L,20,27,0
2023,Regular Season,12,11/26/23,Titans,Home,Panthers,W,17,10,0
2023,Regular Season,12,11/26/23,Panthers,Away,Titans,L,10,17,0
2023,Regular Season,12,11/26/23,Steelers,Away,Bengals,W,16,10,0
2023,Regular Season,12,11/26/23,Bengals,Home,Steelers,L,10,16,0
2023,Regular Season,12,11/26/23,Falcons,Home,Saints,W,24,15,0
2023,Regular Season,12,11/26/23,Saints,Away,Falcons,L,15,24,0
2023,Regular Season,12,11/24/23,Dolphins,Away,Jets,W,34,13,0
2023,Regular Season,12,11/24/23,Jets,Home,Dolphins,L,13,34,0
2023,Regular Season,12,11/23/23,49ers,Away,Seahawks,W,31,13,0
2023,Regular Season,12,11/23/23,Seahawks,Home,49ers,L,13,31,0
2023,Regular Season,12,11/23/23,Cowboys,Home,Washington,W,45,10,0
2023,Regular Season,12,11/23/23,Washington,Away,Cowboys,L,10,45,0
2023,Regular Season,12,11/23/23,Packers,Away,Lions,W,29,22,0
2023,Regular Season,12,11/23/23,Lions,Home,Packers,L,22,29,0
2023,Regular Season,11,11/20/23,Eagles,Away,Chiefs,W,21,17,0
2023,Regular Season,11,11/20/23,Chiefs,Home,Eagles,L,17,21,0
